,category,amt,first,last,gender,street,city,state,lat,long,merch_lat,merch_long,is_fraud,trans_datetime,age,geometry
0,grocery_pos,281.06,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,36.430124,-81.17948299999999,1,2019-01-02 01:06:37,37,POINT (-81.17948299999999 36.430124)
1,gas_transport,11.52,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,29.819364,-99.142791,1,2019-01-02 01:47:29,64,POINT (-99.142791 29.819364)
2,grocery_pos,276.31,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,29.273085,-98.83636,1,2019-01-02 03:05:23,64,POINT (-98.83636 29.273085)
3,gas_transport,7.03,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,35.909292,-82.09101,1,2019-01-02 03:38:03,37,POINT (-82.09101 35.909292)
4,grocery_pos,275.73,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,29.786426,-98.68341,1,2019-01-02 03:55:47,64,POINT (-98.68341 29.786426)
5,shopping_net,844.8,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,35.987802,-81.25433199999999,1,2019-01-02 13:38:08,37,POINT (-81.25433199999999 35.987802)
6,misc_net,843.91,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,35.985612,-81.383306,1,2019-01-02 23:52:08,37,POINT (-81.383306 35.985612)
7,gas_transport,10.76,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,28.856712,-97.794207,1,2019-01-03 01:05:27,64,POINT (-97.794207 28.856712)
8,grocery_pos,332.35,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,29.320662,-97.937219,1,2019-01-03 01:35:52,64,POINT (-97.937219 29.320662)
9,grocery_pos,315.34,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,28.953283000000003,-97.806528,1,2019-01-03 03:17:36,64,POINT (-97.806528 28.953283000000003)
10,grocery_pos,337.05,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,41.174382,-79.809888,1,2019-01-03 16:54:53,84,POINT (-79.809888 41.174382)
11,shopping_pos,711.66,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,41.207335,-78.84093299999999,1,2019-01-03 18:07:01,84,POINT (-78.84093299999999 41.207335)
12,misc_net,707.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.601968,-78.768636,1,2019-01-03 22:09:00,84,POINT (-78.768636 40.601968)
13,shopping_net,942.62,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,35.76589,-81.951839,1,2019-01-03 22:21:15,37,POINT (-81.951839 35.76589)
14,travel,4.5,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,39.492341,-78.859114,1,2019-01-03 22:58:44,84,POINT (-78.859114 39.492341)
15,shopping_pos,821.96,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,35.772593,-81.593183,1,2019-01-03 23:09:51,37,POINT (-81.593183 35.772593)
16,shopping_net,1092.68,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,36.981465,-80.767836,1,2019-01-03 23:29:57,37,POINT (-80.767836 36.981465)
17,shopping_net,1254.27,Jason,Murphy,M,542 Steve Curve Suite 011,Collettsville,NC,35.9946,-81.7266,36.105024,-80.963186,1,2019-01-03 23:41:36,37,POINT (-80.963186 36.105024)
18,grocery_pos,274.09,Misty,Hart,F,27954 Hall Mill Suite 575,San Antonio,TX,29.44,-98.459,29.789989,-97.996197,1,2019-01-03 23:44:42,64,POINT (-97.996197 29.789989)
19,grocery_net,14.37,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.65414200000001,-164.722603,1,2019-01-04 00:58:03,85,POINT (-164.722603 65.65414200000001)
20,grocery_pos,316.93,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,39.528505,-80.23307700000001,1,2019-01-04 02:13:44,84,POINT (-80.23307700000001 39.528505)
21,grocery_pos,327.68,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.236755,-80.30996800000001,1,2019-01-04 02:57:17,84,POINT (-80.30996800000001 40.236755)
22,shopping_net,966.11,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.468863,-165.473127,1,2019-01-04 15:06:38,85,POINT (-165.473127 65.468863)
23,misc_net,795.22,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.352547,-79.327751,1,2019-01-04 15:20:17,84,POINT (-79.327751 40.352547)
24,shopping_pos,1015.8,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.306614,-79.961163,1,2019-01-04 15:48:45,84,POINT (-79.961163 40.306614)
25,misc_net,722.18,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.346282,-79.59966999999999,1,2019-01-04 22:10:09,84,POINT (-79.59966999999999 40.346282)
26,shopping_net,898.81,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,41.126312,-80.513488,1,2019-01-04 22:14:07,84,POINT (-80.513488 41.126312)
27,shopping_net,1001.63,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,39.911297,-80.626808,1,2019-01-04 22:22:44,84,POINT (-80.626808 39.911297)
28,misc_pos,49.61,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.347667,-165.91454199999998,1,2019-01-04 22:37:04,85,POINT (-165.91454199999998 65.347667)
29,grocery_pos,295.26,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,64.445035,-166.080207,1,2019-01-04 23:06:28,85,POINT (-166.080207 64.445035)
30,shopping_net,1099.99,Heather,Chase,F,6888 Hicks Stream Suite 954,Manor,PA,40.3359,-79.6607,40.578351,-79.72757800000001,1,2019-01-04 23:44:56,84,POINT (-79.72757800000001 40.578351)
31,health_fitness,18.17,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.44709399999999,-165.446843,1,2019-01-04 23:59:09,85,POINT (-165.446843 65.44709399999999)
32,gas_transport,20.45,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,64.088838,-165.10407800000002,1,2019-01-05 03:15:35,85,POINT (-165.10407800000002 64.088838)
33,gas_transport,18.19,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,63.917785,-165.827621,1,2019-01-05 03:21:29,85,POINT (-165.827621 63.917785)
34,grocery_pos,367.29,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,40.029,-93.1607,39.167065,-93.705245,1,2019-01-05 11:31:23,71,POINT (-93.705245 39.167065)
35,misc_net,768.15,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,64.623325,-166.403973,1,2019-01-05 18:03:18,85,POINT (-166.403973 64.623325)
36,misc_net,849.49,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.266065,-164.865352,1,2019-01-05 22:02:34,85,POINT (-164.865352 65.266065)
37,shopping_net,1177.79,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,40.029,-93.1607,39.288305,-92.476947,1,2019-01-05 22:05:50,71,POINT (-92.476947 39.288305)
38,grocery_pos,307.09,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,64.909145,-164.71208700000005,1,2019-01-05 22:12:25,85,POINT (-164.71208700000005 64.909145)
39,kids_pets,4.58,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.052892,-166.067029,1,2019-01-05 22:18:52,85,POINT (-166.067029 65.052892)
40,shopping_pos,730.78,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.233866,-166.550779,1,2019-01-05 22:32:28,85,POINT (-166.550779 65.233866)
41,shopping_net,1006.4,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.220316,-165.005725,1,2019-01-05 22:33:55,85,POINT (-165.005725 65.220316)
42,shopping_pos,830.72,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,65.710538,-165.98611699999998,1,2019-01-05 22:38:15,85,POINT (-165.98611699999998 65.710538)
43,grocery_pos,311.92,Mark,Brown,M,8580 Moore Cove,Wales,AK,64.7556,-165.6723,64.79500999999999,-165.670735,1,2019-01-05 23:17:39,85,POINT (-165.670735 64.79500999999999)
44,shopping_pos,762.93,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,40.029,-93.1607,40.205262,-93.499211,1,2019-01-05 23:26:24,71,POINT (-93.499211 40.205262)
45,shopping_net,855.88,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,40.029,-93.1607,40.786018,-93.301092,1,2019-01-06 18:39:27,71,POINT (-93.301092 40.786018)
46,shopping_net,909.29,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,40.029,-93.1607,40.977312,-93.55098,1,2019-01-06 23:33:57,71,POINT (-93.55098 40.977312)
47,grocery_pos,300.14,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,33.205504,-93.710845,1,2019-01-07 04:34:48,68,POINT (-93.710845 33.205504)
48,shopping_net,967.92,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,34.371875,-93.649208,1,2019-01-07 22:33:05,68,POINT (-93.649208 34.371875)
49,grocery_pos,270.01,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,34.535738,-94.524795,1,2019-01-07 23:44:27,68,POINT (-94.524795 34.535738)
50,grocery_pos,289.69,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,34.90683,-94.7085,1,2019-01-07 23:58:33,68,POINT (-94.7085 34.90683)
51,grocery_pos,311.83,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,38.5294,-82.6654,37.786479,-83.50659,1,2019-01-08 00:03:32,24,POINT (-83.50659 37.786479)
52,grocery_pos,283.19,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,38.5294,-82.6654,38.445375,-82.410087,1,2019-01-08 00:26:57,24,POINT (-82.410087 38.445375)
53,gas_transport,15.82,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,37.7184,-77.186,38.032519,-77.88831,1,2019-01-08 01:23:19,26,POINT (-77.88831 38.032519)
54,grocery_pos,296.32,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,34.776591,-94.138256,1,2019-01-08 01:25:51,68,POINT (-94.138256 34.776591)
55,grocery_pos,334.28,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,37.7184,-77.186,37.751241,-78.15634,1,2019-01-08 01:36:15,26,POINT (-78.15634 37.751241)
56,misc_pos,664.73,Rebecca,Farley,F,383 Long Islands,Downsville,NY,42.0716,-75.0152,41.124211,-75.954718,1,2019-01-08 01:50:29,35,POINT (-75.954718 41.124211)
57,gas_transport,8.79,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,35.042148,-94.430423,1,2019-01-08 02:09:01,68,POINT (-94.430423 35.042148)
58,grocery_pos,301.55,Mark,Allen,M,25360 Mcgee Forge,De Queen,AR,34.0442,-94.3386,34.081708,-94.914201,1,2019-01-08 02:29:54,68,POINT (-94.914201 34.081708)
59,grocery_pos,327.26,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,37.7184,-77.186,36.985656,-76.563765,1,2019-01-08 02:33:34,26,POINT (-76.563765 36.985656)
60,shopping_net,1127.56,Rebecca,Farley,F,383 Long Islands,Downsville,NY,42.0716,-75.0152,41.324955,-75.497389,1,2019-01-08 03:00:11,35,POINT (-75.497389 41.324955)
61,grocery_pos,276.41,Eric,Patel,M,69459 Rachel Prairie Apt. 850,Ironton,OH,38.5294,-82.6654,37.601116,-83.040523,1,2019-01-08 03:06:06,24,POINT (-83.040523 37.601116)
62,misc_net,722.92,Rebecca,Farley,F,383 Long Islands,Downsville,NY,42.0716,-75.0152,41.763302,-75.411206,1,2019-01-08 03:37:18,35,POINT (-75.411206 41.763302)
63,gas_transport,8.33,Jennifer,Carrillo,F,334 Adam Mountains Apt. 868,Manquin,VA,37.7184,-77.186,37.158814,-77.68378299999999,1,2019-01-08 04:02:44,26,POINT (-77.68378299999999 37.158814)
64,grocery_pos,333.09,Rebecca,Farley,F,383 Long Islands,Downsville,NY,42.0716,-75.0152,42.908018,-75.716922,1,2019-01-08 04:26:13,35,POINT (-75.716922 42.908018)
